2026-05-25 17:13:23 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,557'
2026-05-25 17:13:24 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:24 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:24 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,559'
2026-05-25 17:13:25 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:25 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:25 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,561'
2026-05-25 17:13:26 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:27 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:27 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,564'
2026-05-25 17:13:28 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:28 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:28 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,566'
2026-05-25 17:13:29 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:29 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:29 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,568'
2026-05-25 17:13:30 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:30 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:30 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,571'
2026-05-25 17:13:31 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:31 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
